monotonic_seconds	utc	http_code	time_seconds
1348498.74	2026-07-20T03:26:34.373Z	200	0.002545
1348498.85	2026-07-20T03:26:34.484Z	200	0.001499
1348498.97	2026-07-20T03:26:34.598Z	200	0.003096
1348499.08	2026-07-20T03:26:34.712Z	200	0.002507
1348499.22	2026-07-20T03:26:34.849Z	200	0.026245
1348499.33	2026-07-20T03:26:34.961Z	200	0.002001
1348499.44	2026-07-20T03:26:35.075Z	200	0.002282
1348499.56	2026-07-20T03:26:35.190Z	200	0.004514
1348499.67	2026-07-20T03:26:35.304Z	200	0.002336
1348499.79	2026-07-20T03:26:35.422Z	200	0.007074
1348499.90	2026-07-20T03:26:35.534Z	200	0.002214
1348500.02	2026-07-20T03:26:35.647Z	200	0.002117
1348500.13	2026-07-20T03:26:35.760Z	200	0.001890
1348500.25	2026-07-20T03:26:35.878Z	200	0.006959
1348500.37	2026-07-20T03:26:35.996Z	200	0.006797
1348500.48	2026-07-20T03:26:36.110Z	200	0.004103
1348500.59	2026-07-20T03:26:36.223Z	200	0.002402
1348500.71	2026-07-20T03:26:36.337Z	200	0.002398
1348500.82	2026-07-20T03:26:36.450Z	200	0.002346
1348500.94	2026-07-20T03:26:36.568Z	200	0.007304
1348501.05	2026-07-20T03:26:36.682Z	200	0.001965
1348501.16	2026-07-20T03:26:36.794Z	200	0.001594
1348501.28	2026-07-20T03:26:36.909Z	200	0.004094
1348501.39	2026-07-20T03:26:37.022Z	200	0.002545
1348501.51	2026-07-20T03:26:37.141Z	200	0.008224
1348501.62	2026-07-20T03:26:37.253Z	200	0.001502
1348501.74	2026-07-20T03:26:37.370Z	200	0.007141
1348501.85	2026-07-20T03:26:37.484Z	200	0.002994
1348501.97	2026-07-20T03:26:37.598Z	200	0.002526
1348502.08	2026-07-20T03:26:37.712Z	200	0.003226
1348502.19	2026-07-20T03:26:37.825Z	200	0.002873
1348502.31	2026-07-20T03:26:37.940Z	200	0.004675
1348502.42	2026-07-20T03:26:38.053Z	200	0.002297
1348502.54	2026-07-20T03:26:38.167Z	200	0.002728
1348502.67	2026-07-20T03:26:38.296Z	200	0.017180
1348502.78	2026-07-20T03:26:38.409Z	200	0.002338
1348502.90	2026-07-20T03:26:38.525Z	200	0.005114
1348503.01	2026-07-20T03:26:38.638Z	200	0.001732
1348503.13	2026-07-20T03:26:38.756Z	200	0.007003
1348503.24	2026-07-20T03:26:38.869Z	200	0.002036
1348503.35	2026-07-20T03:26:38.983Z	200	0.002462
1348503.47	2026-07-20T03:26:39.099Z	200	0.004934
1348503.58	2026-07-20T03:26:39.211Z	200	0.001928
1348503.70	2026-07-20T03:26:39.328Z	200	0.006250
1348503.81	2026-07-20T03:26:39.441Z	200	0.002358
1348503.92	2026-07-20T03:26:39.555Z	200	0.002497
1348504.04	2026-07-20T03:26:39.667Z	200	0.002088
1348504.15	2026-07-20T03:26:39.780Z	200	0.002275
1348504.27	2026-07-20T03:26:39.898Z	200	0.007170
1348504.39	2026-07-20T03:26:40.024Z	200	0.014239
1348504.51	2026-07-20T03:26:40.143Z	200	0.008500
1348504.63	2026-07-20T03:26:40.256Z	200	0.002868
1348504.74	2026-07-20T03:26:40.370Z	200	0.002876
1348504.85	2026-07-20T03:26:40.484Z	200	0.002960
1348504.97	2026-07-20T03:26:40.598Z	200	0.002841
1348505.08	2026-07-20T03:26:40.714Z	200	0.003889
1348505.20	2026-07-20T03:26:40.828Z	200	0.002672
